frank f. de groot;alain  fontaine
stephan w. koch;fausto  rossi
jagdeep  shah;d. s. kim
a. j. arko;j. m. lawrence
luis  brey;h. a. fertig
o. e. eriksson;per  söderlind
s. l. qiu;paul m. marcus
m. brian maple;zachary  fisk
stephan  glutsch;friedhelm  bechstedt
david c. johnston;q. z. huang
peter h. kes;q. b. li
thomas  timusk;james d. jorgensen
dieter  weiss;g. w. weimann
martin  stutzmann;karl  syassen
j. f. wang;y. b. xu
marc a. kastner;yasuo  endoh
luiz e. oliveira;andrea  latgé
y. x. wang;gene  dresselhaus
masaru  tsukada;kenji k. kobayashi
börje  johansson;john m. wills
jeffrey w. lynn;c. w. chu
walter l. lambrecht;benjamin  segall
zachary  fisk;robert h. heffner
alexander i. liechtenstein;bruce n. harmon
s. l. qiu;y. x. liu
z. y. zhang;mark c. croft
jacek k. furdyna;nitin  samarth
manuel  vázquez;antonio  hernando
wolfgang  eberhardt;d. d. sarma
z. q. wang;david g. stroud
didier  poilblanc;gilles  montambaux
peter h. kes;marcin  konczykowski
kunimitsu  uchinokura;robert j. birgeneau
s  w. cheong;miles v. klein
a.  petrou;mitra  dutta
s. c. zhang;sankar  das sarma
valerii m. vinokur;marcin  konczykowski
s  w. cheong;thomas m. palstra
per  söderlind;börje  johansson
d. s. kim;hadis  morkoç
q. b. li;m. p. maley
a.  petrou;a.  twardowski
j. m. franse;alois a. menovsky
carlo  di castro;marco  grilli
philipp  aebi;jürg  osterwalder
o. e. eriksson;john m. wills
robert j. gooding;f. c. chou
gary m. wysin;alan r. bishop
j. d. thompson;a. j. arko
heinz  kalt;m.  sundaram
robert n. shelton;jefferson z. liu
gerhard  abstreiter;jörg p. kotthaus
boyd w. veal;miles v. klein
peter b. littlewood;jan  zaanen
jeffrey w. lynn;j. l. peng
thomas l. reinecke;p. a. knipp
john e. sipe;jagdeep  shah
bruno k. meyer;gerhard  abstreiter
john. d. joannopoulos;rodrigo b. capaz
c. t. chan;costas m. soukoulis
h. c. ku;jeffrey w. lynn
sadamichi  maekawa;robert  eder
p. o. holtz;bo  monemar
francisco  guinea;jose a. vergés
stephan w. koch;p. s. thomas
holger t. grahn;roberto  cingolani
alexander i. liechtenstein;c. osvaldo rodriguez
l. j. sham;jagdeep  shah
peter  weinberger;hubert  ebert
laurence  eaves;david m. whittaker
laurence  eaves;mohamed  henini
boris i. ivlev;peter h. kes
a. j. arko;r. s. liu
john  singleton;robin j. nicholas
john j. rehr;edward a. stern
martin  stutzmann;manuel  cardona
otto f. sankey;david k. ferry
m.  sundaram;bo  monemar
enrique  louis;jose a. vergés
david g. stroud;z. q. wang
jan  zaanen;peter b. littlewood
rolf j. haug;klaus h. ploog
dieter  bimberg;m.  sundaram
bo  monemar;m.  sundaram
z. x. zhao;xi xian yao
jörg p. kotthaus;gerhard  abstreiter
x. j. liu;robert l. stamps
jose a. vergés;francisco  guinea
mohamed  henini;p. c. main
g.  margaritondo;m. f. onellion
raimundo r. dos santos;mucio a. continentino
douglas j. scalapino;peter j. hirschfeld
tobias  ruf;karl  syassen
pierre  le doussal;thierry  giamarchi
karen a. hallberg;c. a. balseiro
gerhard  abstreiter;eugene e. haller
zachary  fisk;david c. johnston
john. d. joannopoulos;efthimios  kaxiras
michael  schreiber;klaus  maschke
p. c. main;poul erik lindelof
k. f. berggren;michael  pepper
john m. tranquada;gen  shirane
r. o. jones;j. w. wagner
jerry m. olson;m. s. skolnick
m. p. maley;boris i. ivlev
p. o. holtz;weimin m. chen
robin j. nicholas;françois m. peeters
thomas  timusk;robert n. shelton
josé a. riera;elbio r. dagotto
k. w. kim;benjamin  segall
j. l. merz;heinz  kalt
c. p. flynn;miles v. klein
g. w. weimann;klaus  ensslin
massimo  gurioli;marcello  colocci
mildred s. dresselhaus;gene  dresselhaus
t. m. klapwijk;heinrich m. jaeger
a. h. lacerda;mucio a. continentino
z. q. wang;rajiv p. singh
w. c. lee;s  w. cheong
y. x. wang;peter c. eklund
i.  miotkowski;günther  bauer
j. l. smith;paul c. canfield
claude  demangeat;hugues  dreyssé
atsushi  fujimori;yoshinori  tokura
jacek k. furdyna;h. g. luo
s. m. girvin;a. peter young
daniel s. chemla;friedhelm  bechstedt
james d. jorgensen;richard l. greene
lamberto  duò;lucio  braicovich
f. c. chou;robert j. gooding
hidenori  takagi;kenji k. kobayashi
k. m. ho;c. t. chan
h. g. zheng;karl h. bennemann
robert j. birgeneau;kunimitsu  uchinokura
paul m. marcus;s. l. qiu
gustaaf  borghs;john  singleton
per  söderlind;o. e. eriksson
t. c. venkatesan;richard l. greene
a. h. lacerda;j. d. thompson
kunimitsu  uchinokura;naoki  koshizuka
yshai  avishai;mahito  kohmoto
jerry r. meyer;grzegorz  karczewski
aharon  kapitulnik;yosef  yeshurun
c. t. foxon;robin j. nicholas
louis j. terminello;david l. ederer
y. x. wang;mildred s. dresselhaus
laurence  eaves;m. s. skolnick
q. z. huang;c. w. chu
w. y. ching;y. b. xu
t. f. rosenbaum;george w. crabtree
bo  monemar;heinz  kalt
peter  weinberger;alain  pasturel
david a. drabold;sergio e. ulloa
friedhelm  bechstedt;manuel  cardona
gilles  montambaux;didier  poilblanc
j. w. wagner;r. o. jones
stephan  glutsch;daniel s. chemla
david w. lynch;john h. weaver
t. f. rosenbaum;g. r. stewart
a. m. bradshaw;richard m. martin
thomas m. palstra;peter b. littlewood
m. s. skolnick;laurence  eaves
d. s. kim;jacek k. furdyna
paul c. canfield;d. k. finnemore
h. a. fertig;j. p. leburton
angel  rubio;julio a. alonso
gianni  blatter;boris i. ivlev
roberto  cingolani;jean  massies
hiroshi  eisaki;hidenori  takagi
x. c. xie;s. c. zhang
martti j. puska;laurent j. lewis
heinrich m. jaeger;t. m. klapwijk
w. c. lee;miles v. klein
robert j. birgeneau;yasuo  endoh
seiichiro  suga;norio  kawakami
sunil k. sinha;takeshi  egami
a. h. lacerda;paul c. canfield
jeffrey w. lynn;sunil k. sinha
j. m. navarro;manuel  barranco
hans l. skriver;karsten w. jacobsen
marco  grilli;carlo  di castro
mansour  shayegan;v. d. kulakovskii
karl  syassen;roberto  cingolani
h. d. yang;h. c. ku
bohdan  andraka;zachary  fisk
ross w. erwin;q. z. huang
b. d. dabrowski;u. w. welp
lynn a. boatner;l.  soderholm
m.  marsi;g.  margaritondo
juan josé palacios;pawel  hawrylak
grzegorz  karczewski;jerry r. meyer
s. lance cooper;r. s. liu
j. l. zhu;x. b. wang
a. j. arko;peter  weinberger
mohamed  henini;laurence  eaves
atsushi  fujimori;george a. sawatzky
james d. jorgensen;arthur j. freeman
v. d. kulakovskii;p. a. knipp
peter j. hirschfeld;douglas j. scalapino
alan j. heeger;chang hoon lee
joan  adler;amnon  aharony
robert m. westervelt;arthur c. gossard
j. a. mydosh;stephen m. shapiro
alexey v. ustinov;r. p. huebener
atsushi  fujimori;kenji k. kobayashi
alan r. bishop;lev n. bulaevskii
r. l. meng;y. y. xue
philipp  aebi;louis  schlapbach
david j. bergman;david g. stroud
paul c. canfield;r.  nagarajan
roberto  cingolani;g. h. li
louis  schlapbach;philipp  aebi
david m. whittaker;laurence  eaves
thomas a. callcott;david l. ederer
robert h. heffner;zachary  fisk
jürg  osterwalder;louis  schlapbach
atsushi  fujimori;robert j. cava
th.  wolf;vladimir z. kresin
j. h. guo;y. g. ma
bo¨rje  johansson;per  söderlind
donald c. reynolds;krishan k. bajaj
hadis  morkoç;j. p. wolfe
alan r. bishop;gary m. wysin
w. c. lee;s. lance cooper
yukihiko  takagaki;klaus h. ploog
a. k. ramdas;jacek k. furdyna
j. d. thompson;carlos  rettori
y. c. chang;h. g. luo
françois m. peeters;robin j. nicholas
m. f. onellion;franz j. himpsel
kenji k. kobayashi;hidenori  takagi
v. d. kulakovskii;alfred  forchel
louis j. terminello;franz j. himpsel
h. g. luo;jacek k. furdyna
bruce n. harmon;c.  stassis
dimitrios a. papaconstantopoulos;david j. singh
andrea  latgé;luiz e. oliveira
bruce d. mccombe;william c. mitchel
burkard  hillebrands;gernot  güntherodt
h. g. luo;nitin  samarth
dieter  weiss;klaus v. klitzing
tobias  ruf;c. y. chen
kenneth w. west;loren n. pfeiffer
dieter  weiss;klaus h. ploog
lars  börjesson;manuel  cardona
hisao  yamauchi;takeshi  egami
sunil k. sinha;jeffrey w. lynn
j. d. thompson;robert h. heffner
r.  nagarajan;paul c. canfield
peter h. kes;alois a. menovsky
david c. johnston;s  w. cheong
j. l. peng;robert n. shelton
toshizo  fujita;t. t. suzuki
dieter  bimberg;n. n. ledentsov
d. k. finnemore;b. d. dabrowski
noboru  miura;p.  pfeffer
s. i. uchida;robert j. cava
z. x. shen;zachary  fisk
c. y. chen;robert j. birgeneau
a. h. lacerda;zachary  fisk
jefferson z. liu;jeffrey w. lynn
