michael j. moravcsik;jack l. uretsky
malcolm h. macgregor;michael j. moravcsik
jerome i. friedman;henry w. kendall
u.  fano;kirk w. mcvoy
albert  ghiorso;herbert  diamond
warren  heckrotte;a. e. glassgold
stanley g. thompson;herbert  diamond
roman  smoluchowski;donald a. wiegand
richard f. wallis;alexei a. maradudin
t. j. ypsilantis;wilson m. powell
kirk w. mcvoy;u.  fano
robert h. good;sam  legvold
harold w. lewis;willy  haeberli
hans o. cohn;joe keagy bair
asim o. barut;christian  fronsdal
julius m. hastings;lester m. corliss
w. s. boyle;a. d. brailsford
luise  meyer-schützmeister;stanley s. hanna
s. b. treiman;steven  weinberg
harold k. ticho;m. lynn stevenson
jack  leitner;aihud  pevsner
philip w. anderson;keith a. brueckner
saul  barshay;r. e. behrends
laurence r. walker;albert m. clogston
david e. alburger;d. h. wilkinson
sulamith  goldhaber;abraham  pais
brice m. rustad;o. c. kistner
larry  spruch;leonard  rosenberg
erwin l. hahn;e. g. wikner
w. s. lyon;richard l. macklin
a. e. litherland;h. e. gove
yoshiharu  okaya;ray  pepinsky
jack  leitner;hans o. cohn
gerhart  friedlander;israel  dostrovsky
e. k. warburton;l. f. chase
john p. schiffer;l. l. lee
glen e. gordon;glenn t. seaborg
a. d. brailsford;w. s. boyle
ernest  corenzwit;richard m. bozorth
m. l. rustgi;wolfgang  zernik
john w. mcclure;chun wa wong
richard l. macklin;john h. gibbons
christian  fronsdal;asim o. barut
d. a. bromley;a. e. litherland
w. c. koehler;m. k. wilkinson
j. w. butler;c. r. gossett
harry d. holmgren;j. w. butler
katuro  sawada;ronald m. rockmore
wesley b. ewbank;lawrence l. marino
william g. spitzer;david a. kleinman
leon  madansky;george e. owen
israel  dostrovsky;gerhart  friedlander
albert m. clogston;vincent  jaccarino
r. d. bent;leon j. lidofsky
albert  ghiorso;paul r. fields
joe keagy bair;hans o. cohn
george a. snow;joseph  sucher
harry  suhl;philip w. anderson
i.  perlman;frank  asaro
d. g. thomas;john j. hopfield
e. o. wollan;m. k. wilkinson
d. a. bromley;h. e. gove
kenneth m. watson;marvin h. mittleman
james b. ball;i.  halpern
susumu  okubo;masao  sugawara
a. z. schwarzschild;a. w. sunyar
kenneth m. watson;a. e. glassgold
william a. nierenberg;wesley b. ewbank
f.  ajzenberg-selove;p. h. stelson
paul r. fields;stanley g. thompson
walter h. barkas;frances m. smith
a. z. schwarzschild;lee  grodzins
morrel h. cohen;walter a. harrison
donald j. hughes;h.  palevsky
john h. gibbons;h. w. schmitt
jack m. hollander;i.  perlman
bruce j. dropesky;j. w. starner
vincent  jaccarino;laurence r. walker
paul r. fields;alan b. smith
m. e. bunker;bruce j. dropesky
glenn t. seaborg;albert  ghiorso
susumu  okubo;e. g. sudarshan
henry b. silsbee;howard a. shugart
h. e. gove;e.  almqvist
malcolm h. macgregor;henry pierce stapp
harold k. ticho;donald harvey stork
m. lynn stevenson;frank s. crawford
romas a. shatas;martin a. pomerantz
william  tobocman;g. ray satchler
james  wing;john r. huizenga
robert c. herman;richard f. wallis
a. w. sunyar;james b. cumming
louis  rosen;john e. brolley
e. o. wollan;w. c. koehler
norbert t. porile;a. w. sunyar
j. w. starner;j. d. knight
stanley s. hanna;richard s. preston
hans o. cohn;martin m. block
r. r. carlson;stanley  bashkin
bruce  cork;r. l. cool
shimon  ofer;a. z. schwarzschild
clyde e. wiegand;t. j. ypsilantis
james b. cumming;a. w. sunyar
nelson  jarmie;myron g. silbert
lyle  patrick;w. j. choyke
frank s. crawford;harold k. ticho
robert h. davis;t. w. bonner
gerson  goldhaber;abraham  pais
a. w. fairhall;james b. ball
norbert t. porile;a. z. schwarzschild
a.  zucker;m. l. halbert
bernard  kramer;hartmut p. kallmann
d.  shaltiel;w.  low
h. w. schmitt;richard l. macklin
steven  weinberg;s. b. treiman
a. m. portis;charles  kittel
stanley s. hanna;luise  meyer-schützmeister
m. e. bunker;j. d. knight
james w. cronin;bruce  cork
m. lynn stevenson;harold k. ticho
j. h. hamilton;lawrence m. langer
aihud  pevsner;martin m. block
frank s. crawford;myron l. good
vincent  jaccarino;albert m. clogston
frank  asaro;i.  perlman
r. l. cool;bruce  cork
lawrence m. langer;w. g. smith
f. w. prosser;t. w. bonner
l. l. lee;john p. schiffer
wilson m. powell;clyde e. wiegand
b. james raz;j. l. yntema
t. w. bonner;f. w. prosser
howard a. shugart;henry b. silsbee
j. e. gindler;d. w. engelkemeir
g.  breit;m. h. hull
brend t. matthias;richard m. bozorth
john j. hopfield;d. g. thomas
darragh e. nagle;fred l. ribe
a. d. brailsford;john k. galt
donald r. hamilton;lyle  patrick
j. d. knight;bruce j. dropesky
j. d. knight;j. w. starner
l. f. chase;r. g. johnson
stanley g. thompson;albert  ghiorso
albert  ghiorso;stanley g. thompson
j. w. cable;w. c. koehler
julius m. hastings;norman  elliott
richard m. bozorth;harry  suhl
h. e. gove;d. a. bromley
brend t. matthias;ernest  corenzwit
william a. nierenberg;lawrence l. marino
john r. huizenga;robert  vandenbosch
w.  low;s. n. foner
luise  meyer-schützmeister;richard s. preston
michael j. moravcsik;henry pierce stapp
t. w. bonner;robert h. davis
william a. nierenberg;howard a. shugart
donald r. hamilton;w. j. choyke
a. z. schwarzschild;c. s. wu
h. e. gove;a. e. litherland
jack  leitner;martin m. block
henry pierce stapp;malcolm h. macgregor
j. h. hamilton;w. g. smith
jack m. hollander;frank  asaro
marvin l. goldberger;samuel w. macdowell
howard a. shugart;william a. nierenberg
t. h. kruse;r. d. bent
elizabeth w. baker;seymour  katcoff
wesley b. ewbank;henry b. silsbee
glenn t. seaborg;paul r. fields
j. m. luttinger;walter  kohn
hartmut p. kallmann;bernard  kramer
gertrude  scharff-goldhaber;marilyn  mckeown
r. g. johnson;e. k. warburton
james b. ball;a. w. fairhall
lawrence l. marino;howard a. shugart
j. l. yntema;b. james raz
r. a. logan;a. g. chynoweth
h. h. woodbury;g. w. ludwig
martin  peter;albert m. clogston
charles p. swann;v. k. rasmussen
i.  halpern;james b. ball
toichiro  kinoshita;alberto  sirlin
robert s. knox;frederick c. brown
r. l. cool;william a. wenzel
h.  ehrenreich;morrel h. cohen
kenneth s. toth;john o. rasmussen
lothar  meyer;f.  reif
r. l. robinson;w. g. smith
leroy t. kerth;r. l. cool
c. s. wu;a. z. schwarzschild
f.  boehm;charles j. gallagher
keith a. brueckner;john l. gammel
a. r. erwin;anatole m. shapiro
james w. cronin;leroy t. kerth
lowell m. bollinger;herbert  diamond
b. c. frazer;gen  shirane
glenn t. seaborg;herbert  diamond
w. j. choyke;lyle  patrick
stanley g. thompson;john o. rasmussen
william a. wenzel;bruce  cork
j. morris blair;edwin  norbeck
fred h. schmidt;j. b. gerhart
norman f. ramsey;robert j. wilson
richard l. macklin;w. s. lyon
peter c. stevenson;harry g. hicks
w. g. smith;lawrence m. langer
m. k. wilkinson;w. c. koehler
vernon w. hughes;a. l. lurio
richard  marrus;william a. nierenberg
t. d. lee;chen ning yang
h. w. schmitt;john h. gibbons
laurence r. walker;john k. galt
i.  perlman;jack m. hollander
richard l. macklin;h. w. schmitt
gerson  goldhaber;sulamith  goldhaber
r. o. bondelid;j. w. butler
a. l. lurio;vernon w. hughes
r. m. walker;james w. corbett
geoffrey f. chew;francis e. low
w. g. smith;p. h. stelson
w.  low;d.  shaltiel
gerson  goldhaber;owen  chamberlain
harry  suhl;brend t. matthias
m. k. wilkinson;e. o. wollan
robert w. kenney;victor  perez-mendez
joe keagy bair;harvey b. willard
a. z. schwarzschild;norbert t. porile
william a. nierenberg;richard  marrus
james w. corbett;r. m. walker
marvin l. goldberger;david y. wong
robert p. schuman;r. l. heath
herbert  diamond;glenn t. seaborg
a. w. sunyar;a. z. schwarzschild
andrew m. sessler;robert l. mills
r. e. behrends;gerald  feinberg
john w. mcclure;jeffrey d. anderson
martin m. block;jack  leitner
james w. cronin;william a. wenzel
john o. rasmussen;i.  perlman
ronald m. rockmore;katuro  sawada
r. d. bent;t. h. kruse
manfred a. biondi;john a. rayne
r. l. cool;leroy t. kerth
o. c. kistner;brice m. rustad
owen  chamberlain;gerson  goldhaber
abraham  pais;sulamith  goldhaber
david  bohm;yakir  aharonov
ralph d. amado;keith a. brueckner
r. g. johnson;l. f. chase
j. w. butler;harry d. holmgren
marilyn  mckeown;gertrude  scharff-goldhaber
r. g. helmer;s. b. burson
richard a. ferrell;edward a. stern
y. c. tang;alex s. green
o. e. johnson;w. g. smith
bruce j. dropesky;m. e. bunker
anatole m. shapiro;a. r. erwin
e. g. wikner;erwin l. hahn
leona  stewart;john e. brolley
wolfgang  zernik;g.  breit
jeffrey d. anderson;chun wa wong
e. g. sudarshan;robert e. marshak
robert j. wilson;norman f. ramsey
l. f. chase;g. j. igo
vincent  jaccarino;martin  peter
w. c. koehler;e. o. wollan
ludwig  tewordt;john  bardeen
a. e. glassgold;warren  heckrotte
