j. w. starner;richard l. henkel
john e. brolley;fred l. ribe
samuel k. allison;edwin  norbeck
m. h. hull;loyal  durand
laurence r. walker;harry  suhl
a. p. klein;francis e. low
r. e. cutkosky;fredrik  zachariasen
e. g. sudarshan;robert e. marshak
w. c. koehler;e. o. wollan
stephen g. gasiorowicz;r. l. arnowitt
m. g. stewart;m. l. wiedenbeck
m. l. rustgi;joseph s. levinger
t. w. bonner;john p. schiffer
robert d. tripp;owen  chamberlain
s. b. treiman;h. w. wyld
brend t. matthias;j. p. remeika
m. h. hull;lawrence c. biedenharn
john l. gammel;roy m. thaler
gene  dresselhaus;arthur f. kip
richard l. henkel;lawrence  cranberg
george a. snow;william f. fry
alan b. smith;paul r. fields
jack  sandweiss;robert w. birge
hans  mark;f.  ajzenberg-selove
david  pines;francis e. low
robert g. sachs;s. b. treiman
theodore h. geballe;g. w. hull
g. c. phillips;john p. schiffer
william  chinowsky;leon m. lederman
leon n. cooper;william  tobocman
robert v. pyle;bernard g. harvey
henry m. foley;andrew m. sessler
albert  ghiorso;glenn t. seaborg
k. f. huang;sidney d. drell
hans  mark;r. d. lawson
harvey b. willard;hans o. cohn
robert w. birge;donald harvey stork
george  feher;arthur f. kip
r. l. robinson;lawrence m. langer
james w. cronin;r. l. cool
john p. schiffer;c. r. gossett
t. d. lee;jay  orear
david e. alburger;a. w. sunyar
r. m. walker;richard s. preston
b. c. frazer;ray  pepinsky
ray  pepinsky;yoshiharu  okaya
martin m. block;earle c. fowler
donald r. hamilton;francis m. pipkin
arthur f. kip;george  feher
gen  shirane;ray  pepinsky
owen  chamberlain;robert d. tripp
bernard g. harvey;glenn t. seaborg
john  bardeen;j. robert schrieffer
w. g. smith;charles j. gallagher
gerson  goldhaber;clyde e. wiegand
r. r. hake;d. e. mapother
paul r. fields;glenn t. seaborg
laura m. roth;l. peter gold
glenn t. seaborg;stanley g. thompson
e.  almqvist;h. e. gove
h.  palevsky;donald j. hughes
