girish s. agarwal;p.  ananthalakshmi
seishi  takagi;k.  okuno
john e. rogerson;dwight  duston
l. g. benguigui;y.  guichard
dimitri d. vvedensky;j. f. nicoll
alfred k. mann;dan  nir
günter  wunner;heinz  herold
h. gordon berry;robert l. brooks
f.  bergsma;j. p. wagenaar
k. t. cheng;vojislav  radojević
j. e. willis;s. m. shafroth
l. c. pitchford;james m. peek
john t. park;p. j. martin
dong  taiqian;harold j. metcalf
r. du bois;d. h. schneider
j. m. römer;m.  rogge
t. s. nigmanov;a. b. watson
david  salzmann;shalom  eliezer
hans r. griem;r. c. cauble
phillip  sprangle;b.  liberman
john j. kozak;k. a. green
ravinder  kachru;f.  gounand
c. m. tang;henry p. freund
m.  weinfeld;f.  amiranoff
j.  kimman;marnix j. van der wiel
john e. rogerson;milan  blaha
reinhard  schinke;wilfried  meyer
giovanni  stefani;d. h. crandall
david a. shirley;p. h. kobrin
david m. ronis;marvin  silverberg
d.  girard-vernhet;j. p. desclaux
c. a. petitjean;w. h. breunlich
j. m. stadlbauer;dezsö  horváth
robert e. lavilla;richard d. deslattes
ali h. nayfeh;g. barry hillard
i. b. goldberg;b. r. tambe
b.  sayer;józef  szudy
ernst joachim weniger;e. otto steinborn
m.  tawil;o.  redi
henry p. freund;d.  dillenburg
l.  moi;claude  fabre
p.  rabinowitz;b. n. perry
peter w. milonni;mei li  shih
c.  florea;i.  cuculescu
william l. rowan;j. r. kaufman
h.  berst;h. u. kiefl
wanda r. ferrell;m. g. payne
marcel  ausloos;p.  clippe
m. y. yu;padma kant shukla
c.  tavard;m. dal cappello
a.  bagheri;h. w. roser
claudio  oldano;p. taverna valabrega
bruce h. failor;anthony c. ladd
c. h. obcemea;magnus  rittby
krzysztof  wódkiewicz;d. g. welsch
raymond  kind;bostjan  zeks
robert j. birgeneau;carl w. garland
jiang  zhan-kui;g.  jönsson
jürgen  bosse;dieter  quitmann
esteban  martina;george  stell
helmut r. brand;victor  steinberg
alfredo  macías;manuel  yáñez
awadh n. tripathi;b. s. sharma
ronald w. henry;kalidas  bhadra
j. c. camparo;c. h. volk
a. s. kanofsky;b. l. chrisman
f. d. mcdaniel;arlen r. zander
carson d. jeffries;j. m. perez
g. o. williams;t. s. nigmanov
