a.  huetz;d.  vichon
barry d. krawchuk;pat  sofinski
henn  oona;bartley l. cardon
ting shan luk;louis  dimauro
a. j. leadbetter;j. j. benattar
a. b. denison;s.  dhawan
g. d. meneses;david c. cartwright
yaakov  shima;gabor j. kalman
s.  vučić;p. v. grujić
b. v. mckoy;gy.  csanak
albert  teitsma;s. s. wang
vernon w. hughes;daniel c. lu
warren e. falconer;r. s. hozack
y. c. chou;mahn won kim
ellen d. yorke;sofia d. merajver
philip d. miller;matt d. brown
j. e. aldag;john t. park
mahn won kim;a. anil kumar
werner  brandt;roman  laubert
fabrizio  barocchi;marco  zoppi
mau hsiung chen;kh rezaul karim
w.  lindinger;p.  lukac
p.  lukac;h.  ramler
hong tuan duong;j. l. vialle
p. j. martin;john t. park
john c. hansen;john a. duncanson
m.  de saint-simon;p.  juncar
gy.  csanak;n. t. padial
stephen j. goett;robert h. clark
donald s. gemmell;elliot p. kanter
k.  inglis;nelson  cue
r.  geller;j.  aubert
j. t. hays;o.  theimer
charles e. johnson;f. j. pichanick
john  reid;r. l. sinclair
m. j. sammon;saul  meiboom
paolo  schwendimann;annabella  selloni
michael g. raymer;robert w. boyd
d. a. kranz;edward b. rockower
sunanda  guha;bidhan c. saha
takashi  nakayama;kazunaru  tomishima
david  jasnow;takao  ohta
joseph e. avron;josef  paldus
gerhard  huber;a.  pesnelle
marianne  breinig;bernd  crasemann
r. s. schneider;henry p. freund
s. t. lee;richard a. rosenberg
a. m. borisov;v. a. molchanov
robert w. short;rajarshi  roy
rené  pellat;h.  sol
raymond j. fonck;fred l. roesler
h. w. reist;m. h. yam
e. m. helmy;a. p. paszek
i.  mcgregor;m.  aydinol
l. e. murray;shinya  kasai
marc  hou;m.  ligare
d.  van houtte;b.  jacquot
carl w. garland;gerald b. kasting
milan  blaha;verne l. jacobs
b.  sanjeevaiah;t. k. umesh
j. e. aldag;p. j. martin
v. s. walder;m.  cattani
k. k. mon;r.  gann
wayne a. seale;w. a. roney
r. t. hawkins;m.  rothschild
s. b. woo;p. h. mauk
edward  pollack;m.  vedder
william e. cooke;s. a. bhatti
m.  sebata;k.  sera
m.  bitter;einar  hinnov
jeff f. young;m. d. wright
chia wei  woo;v. t. rajan
m.  sebata;m.  kamiya
e.  alge;h.  ramler
j. p. buchet;m. c. buchet-poulizac
james g. stuart;norman f. ramsey
anthony f. starace;k. f. huang
i.  välimaa;risto m. nieminen
siegfried  lauer;vishnu r. marathe
m. s. dababneh;victor  pol
george  aspromallis;donald r. beck
l. c. mcintyre;m. d. burrows
j. a. stone;r.  mayo
c. p. de vries;h. j. oskam
t. w. hansch;a.  siegel
wm. g. hoover;anthony c. ladd
md.  salimullah;v. k. tripathi
k. g. whitney;j. p. apruzese
m. k. sharma;b. l. jhanwar
narkis  tzoar;manoj  jain
aaron  temkin;s.  wakid
b. t. smith;r. l. champion
p. p. lu;calvin k. chan
masaaki  nakamura;shiro  hara
m. r. keenan;l. w. buxton
frank  weinhold;nimrod  moiseyev
b.  sanjeevaiah;k. s. puttaswamy
osvaldo  goscinski;teijo  Åberg
a. anil kumar;walter i. goldburg
kohei  yamada;hitoshi  nishimura
reeta  vyas;m. l. rustgi
r.  panock;l. m. humphrey
g.  saemann-ischenko;w.  schubert
j. c. white;jeffrey  bokor
richard m. schectman;a. eugene livingston
antonio  quattropani;annabella  selloni
lloyd a. hackel;michael a. johnson
m. eugene rudd;j.  fryar
robert j. harrach;ray e. kidder
a.  touati;michel  tavernier
michael e. kellman;david r. herrick
m. d. levenson;david e. nitz
arne w. fliflet;thomas n. rescigno
celso  grebogi;allan n. kaufman
ken ichi  kubota;shin  ito
carl  nordling;a.  bengtson
m. y. yu;h. u. rahman
p.  juncar;robert  klapisch
andrew g. de rocco;sofia d. merajver
n. b. abraham;d. a. kranz
j. d. knight;c. j. orth
p. f. liao;l. m. humphrey
robert d. cowan;d.  eames
a.  langenberg;r. a. kenefick
anton  zeilinger;a. g. klein
e. h. da jornada;phillip  sprangle
roscoe b. white;alexander b. rechester
juhani  väyrynen;maritta  kellokumpu
a. m. howald;l. wilmer anderson
stig  stenholm;ennio  arimondo
maritta  kellokumpu;helena  aksela
m. h. yam;h.  orth
a. k. bhatia;aaron  temkin
s. p. khare;b. l. jhanwar
s. m. morita;a.  yamadera
bernd a. hess;john p. wikswo
james m. hall;brant m. johnson
antonio  quattropani;h. p. baltes
v.  brückner;w.  schubert
antoinette j. taylor;arthur l. schawlow
robert s. freund;james a. schiavone
b. r. suydam;robert a. fisher
hendrik j. monkhorst;bogumil  jeziorski
j. a. armstrong;sudhanshu s. jha
a. anil kumar;d. d. little
e. a. lazarus;shinya  kasai
helena  aksela;maritta  kellokumpu
c. s. chang;r. e. schlier
t. w. crane;h. w. reist
m. c. downer;nicolaas  bloembergen
h. p. roy;g. n. bhattacharya
s. b. woo;robert m. stehman
k. e. miyano;george l. wong
l. c. pitchford;s. v. oneil
willis e. lamb;m. d. burrows
h. u. kiefl;jens  fricke
yasuhiro  miyake;ryusuke  kono
s. d. sharma;larry d. gardner
m.  bitter;n. r. sauthoff
paul w. schmidt;duane a. dolejsi
j. l. duggan;george  basbas
h.  azechi;kohei  yamada
d. h. tracy;fred l. roesler
kenneth l. andrew;craig j. sansonetti
bernard  pouligny;e.  sein
donal j. burns;richard m. schectman
mina  vajed-samii;lloyd  armstrong
john d. mcnutt;j. t. hutton
s. e. harris;m. d. wright
j. h. simpson;i. a. greenwood
u.  nielsen;t.  andersen
samuel a. werner;roberto  colella
wayne d. kimura;m. a. piestrup
s.  dhawan;daniel c. lu
h. c. werner;jose d. garcia
flemming  besenbacher;wolfhard  möller
santosh k. srivastava;david c. cartwright
c. w. gardiner;peter d. drummond
p.  lukac;h.  villinger
j. g. mark;t. m. kwon
d. h. crandall;david j. pegg
eric r. eliel;k. h. van leeuwen
e. h. da jornada;r. s. schneider
m. j. konopnicki;joseph h. eberly
k. d. luks;john j. kozak
s. j. wilk;yoshihisa  fujiwara
john e. rice;t.  coan
cherif  bendjaballah;guy  oliver
lukasz a. turski;james s. langer
p.  schorn;s.  hoppenau
r.  deserio;robert l. brooks
john l. campbell;c. w. schulte
d.  prosnitz;v. kelvin neil
risto m. nieminen;n. w. ashcroft
p. g. coleman;j. t. hutton
robert e. walkup;william d. phillips
s. d. sharma;y. z. gulkok
a.  declémy;a.  rachman
m. e. schillaci;j. d. knight
james s. koehler;j. e. watson
r.  vetter;c.  bréchignac
wolfgang  meckbach;i. b. nemirovsky
gaetano  ferrante;claudio  leone
m.  druetta;j. p. grandin
m.  rothschild;h.  pummer
girish s. agarwal;da hsuan feng
p.  lambropoulos;peter  zoller
h. h. andersen;p.  loftager
r. l. coldwell;r. e. lowther
robert v. pyle;j. a. tanis
n. v. de castro faria;e. b. justiniano
alfred k. mann;baruch  rosner
milivoj  belic;joel i. gersten
k. d. lain;charles ray smith
james g. lunney;j. d. kilkenny
b. b. rao;j.  her
keizo  ishii;t. c. chu
peter m. koch;d. h. crandall
alain  catherinot;g.  gousset
tsutomu  yabuzaki;masao  kitano
l. d. doverspike;r. l. champion
siddheswar  chaudhuri;jayanth r. banavar
john c. huang;n. b. abraham
p.  lebrun;laszlo  palffy
p. d. dumont;y.  baudinet-robinet
george  basbas;j. l. duggan
jan  gryko;jan  popielawski
jan v. sengers;r. s. basu
arnold  russek;michael j. cavagnero
giacinto  scoles;s.  marchetti
jens  fricke;walter l. borst
teijo  Åberg;olavi  keski-rahkonen
c.  thibault;robert  klapisch
sunil k. sinha;mahendra singh sodha
n. r. chen;john t. ho
masao  arai;eric d. siggia
s.  liberman;a.  pesnelle
abraham  nitzan;r. stephen berry
michael s. pindzola;m. g. payne
keith b. macadam;r. g. rolfes
f.  moussa;marcel h. lambert
harvey a. rose;donald f. dubois
wm. g. hoover;richard m. more
hitoshi  nishimura;m.  hamada
kazunaru  tomishima;tomoya  akiba
meera  chandrasekhar;paul w. schmidt
m.  daskhan;carlos  falcon
g. d. alton;matthew s. lucas
j. p. grandin;jean  désesquelles
j. e. willis;j. richard mowat
m.  vedder;l. d. doverspike
subodh r. shenoy;girish s. agarwal
r.  dang;paul  weiss
dieter  forster;aldona  gabriunas
hans  mark;mau hsiung chen
yakir  aharonov;c. k. au
j. a. edighoffer;d. y. wang
james j. duderstadt;r. c. cauble
arlee v. smith;stephen j. smith
philip d. miller;ali a. antar
jørgen e. hansen;charlotte froese fischer
p.  jacquinot;f.  touchard
s. l. schmidt;p.  ortoleva
a.  bhattacharjee;james d. meiss
massimo  mazzoni;marco  pettini
harold d. bale;meera  chandrasekhar
r. l. graham;axel  schenzle
constantine e. theodosiou;steven trent manson
k.  reinikainen;teijo  Åberg
boël  denne;j. o. ekberg
terrance l. worchesky;richard p. leavitt
j. c. white;r. h. storz
peter d. drummond;shoukry s. hassan
c.  thibault;hong tuan duong
sadao  nakai;yoshishige  suzuki
d. o. heddle;b. k. van zyl
f.  matsuoka;y.  inada
a.  rachman;a.  declémy
r. l. graham;hermann  grabert
j.  aubert;b.  jacquot
robert c. amme;b. k. van zyl
p. f. müller;w.  schmidt
viorica n. gheorghe;carl b. collins
a. j. ratkowski;donald s. gemmell
chris h. greene;u.  fano
richard r. freeman;p. f. liao
s.  büttgenbach;hong tuan duong
richard l. becker;john f. reading
c. a. quarles;d. b. heroy
k.  umetani;t.  mikumo
r. p. sharma;mahendra singh sodha
s. k. knudson;jong h. choi
w. h. flygare;e. j. campbell
natthi  singh;s. k. arora
j.  basu;s. c. das
john t. park;k.  arnett
j. e. bjorkholm;paul r. berman
mahendra singh sodha;md.  salimullah
john f. seely;r. h. dixon
annie  chetioui;jean pierre briand
masaki  kato;p.  greve
robert r. lucchese;deborah k. watson
m. s. powar;m. j. singh
fred w. inman;j. j. chmielewski
elisabeth  ressayre;andrée  tallet
v.  schmidt;s.  krummacher
joseph h. macek;gordon a. gallup
e.  asseo;h.  sol
james g. lunney;richard w. lee
lars  engström;j. o. ekberg
d.  prosnitz;abraham  szoke
shinichi  watanabe;chris h. greene
s. v. oneil;j. r. rumble
s.  büttgenbach;m.  de saint-simon
s.  dhawan;a. b. denison
j. l. davis;verne l. jacobs
john p. wikswo;l. j. schaad
g.  nolte;r. h. schuch
s. j. hinterlong;j. e. hardis
paul r. keller;manfred o. krause
vitaly d. ovsiannikov;stanisław  kielich
w. w. jacobs;j. a. tanis
mario  gronchi;luigi a. lugiato
elliot p. kanter;k.  inglis
samuel a. werner;albert w. overhauser
bidhan c. saha;ian e. mccarthy
a.  pesnelle;c.  thibault
f. g. kellert;t. h. jeys
thomas a. carlson;david  mehaffy
robert a. naumann;j. d. knight
natarajan d. bhaskar;marc  hou
john j. wright;ludwig c. balling
v. c. sutcliffe;p. j. martin
c. j. anderson;l. wilmer anderson
juhani  väyrynen;helena  aksela
j. e. hardis;s. j. hinterlong
charles w. smith;william h. matthaeus
s. l. allen;earl s. marmar
c. j. david lin;d. c. gregory
philip d. miller;charles d. moak
nicim  zagury;luiz  davidovich
m.  hohenstatt;hans g. dehmelt
roman  salvador;gernot  alber
a. p. paszek;p. h. mauk
p.  lukac;s. e. kuhn
m. a. popelier;c. e. van eijk
s. d. druger;theodore g. castner
j. warren stearns;j. a. tanis
kenzo  miyazaki;takuzo  sato
a.  lesage;truong-bach
c.  higgs;g. f. hildebrandt
eckhard  krotscheck;john g. zabolitzky
alex s. green;p. s. ganas
fernando  parente;bernd  crasemann
v. c. sutcliffe;t. j. kvale
b.  dubreuil;alain  catherinot
d. e. bowen;d. b. fenner
fernando j. da paixão;n. t. padial
k. a. smith;f. g. kellert
b. g. ritchie;eugene j. mcguire
john s. hutchinson;robert e. wyatt
david w. allender;david linton johnson
m.  rothschild;h.  egger
robert c. amme;h. l. rothwell
t. h. jeys;k. a. smith
marco  zoppi;fabrizio  barocchi
marcel  ausloos;jacek m. kowalski
françois r. bouchet;d.  guillon
aaron  temkin;a. k. bhatia
reinhard  bruch;d. h. schneider
mitsuko  murakami;l. e. murray
g.  saemann-ischenko;v.  brückner
richard k. moats;joseph e. avron
eduardo a. castro;francisco m. fernández
m.  kaneko;nobuhiro  kuwahara
t. j. tseng;m. a. whitehead
paul l. devries;james r. stallcop
a. m. borisov;e. s. mashkova
k. t. lu;a. p. rau
patrick  richard;c. j. david lin
j. f. ziegler;u.  littmark
f.  matsuoka;yoshishige  suzuki
s. c. das;j.  basu
kennedy j. reed;andrew u. hazi
norman f. ramsey;james g. stuart
girish s. agarwal;subodh r. shenoy
brahm  dev;semaan i. salem
jiří  Čížek;barry g. adams
adi r. bulsara;peter  hanggi
e.  alge;s. e. kuhn
f.  touchard;s.  büttgenbach
e.  bovet;alan a. hahn
charles d. moak;l. b. bridwell
daniel m. chipman;bernard  kirtman
ivan  hubač;petr  Čársky
j. r. rumble;s. v. oneil
j. p. grandin;alain  denis
a. m. borisov;l. l. balashova
lawrence  wilets;a. m.  mårtensson
frederick a. grimm;thomas a. carlson
c. j. anderson;r. j. girnius
lloyd  armstrong;dinh  ton-that
m. h. yam;vernon w. hughes
richard w. lee;james g. lunney
g. n. bhattacharya;prasanta kumar mukherjee
m.  rothschild;r. t. hawkins
k. d. chao;steven trent manson
p.  juncar;j. l. vialle
thomas n. rescigno;deborah k. watson
r. f. stebbings;c.  higgs
masao  kitano;tetsuo  ogawa
g.  tenti;charles d. boley
ludwig c. balling;s. e. frolking
robert h. clark;douglas h. sampson
william p. spencer;theodore w. ducas
laszlo  palffy;p.  lebrun
james s. cohen;willard r. wadt
bjarne  andresen;peter  salamon
l.  d'hooge;daniel  van labeke
h. m. epstein;p. j. mallozzi
c. j. david lin;brant m. johnson
naoki  itoh;setsuo  ichimaru
nimrod  moiseyev;shmuel  friedland
peter  winkler;ronald a. lovett
n. r. chen;s. k. hark
l. b. bridwell;matthew s. lucas
constantine e. theodosiou;anthony f. starace
h. q. le;terry a. miller
w. e. schwarz;reinhard  bruch
annie  chetioui;jean pierre rozet
james e. bayfield;larry d. gardner
t. j. kvale;james h. mcguire
ch.  stoller;w. e. meyerhot
hajime  tanaka;t. k. lim
m.  bitter;w.  stodiek
a.  yamadera;m.  kamiya
r.  guccione-gush;g.  winnewisser
r.  calinon;kenneth i. golden
g. l. goodman;c. h. batson
v. c. sutcliffe;jerry l. peacher
richard l. becker;a. lewis ford
w.  lindinger;h.  villinger
c.  fleurier;j.  chapelle
m. k. srivastava;awadh n. tripathi
n. b. abraham;edward b. rockower
verne l. jacobs;milan  blaha
f.  laperriere;j. p. downing
j. j. chmielewski;j. l. flinner
richard a. holt;a. g. adam
t. s. ho;d.  umberger
abraham  nitzan;p.  ortoleva
nelson  cue;elliot p. kanter
a. anil kumar;peter l. lee
a. m. howald;c. j. anderson
marlin  whitaker;rainer  johnsen
kunihiro  shima;terumi  nakagawa
christian  delsart;v. p. kaftandjian
m.  le dourneuf;k. f. huang
kohei  yamada;m.  hamada
anna i. mcpherson;john s. risley
t. j. gay;h. gordon berry
m.  hamada;yoshishige  suzuki
hermann  flaschka;david w. mclaughlin
p. a. souder;p. o. egan
s. d. manoli;m. a. whitehead
t. w. shattuck;alex  pines
jean pierre rozet;jean pierre briand
jean  désesquelles;x.  husson
m. k. sharma;s. p. khare
gilles  sigaud;m. f. achard
d.  umberger;f. t. chan
m.  kamiya;masayuki  oyamada
e.  alvarez;a.  arnesen
e.  asseo;g. l. schmidt
william g. hoover;anthony c. ladd
m. j. singh;m. s. powar
k.  sera;t. c. chu
f. j. hartmann;j. j. reidy
d. b. heroy;c. a. quarles
verne l. jacobs;j. l. davis
w.  schmidt;v.  brückner
d. h. crandall;r. s. peterson
george s. brown;marianne  breinig
john a. leavitt;bartley l. cardon
g. zu putlitz;p. a. thompson
p.  clippe;marcel  ausloos
h.  dickow;boël  denne
d. d. hinshelwood;d. e. murnick
daniel  van labeke;jean marie vigoureux
w. l. wiese;stephen m. younger
d.  dowek;d.  dhuicq
raymond l. simons;hugh p. kelly
z.  sujkowski;d.  chmielewska
galen k. straub;brad lee holian
paul  rehmus;r. stephen berry
r. g. rolfes;m. eugene rudd
larry a. viehland;edward a. mason
robert w. short;k.  kaminishi
raju u. datla;hans r. griem
d.  dhuicq;m.  barat
fred w. inman;b.  sollenberger
p. m. guyon;j.  breton
h.  burggraf;wulfhard  lange
donal j. burns;n.  schaffel
richard m. schectman;ralph d. hight
j.  basu;n. c. paul
n. c. paul;n.  chaudhuri
daniel j. larson;james g. stuart
chris  van den broeck;léon  brenig
joseph e. avron;harris j. silverstone
f. b. dunning;e. j. beiting
lars  engström;boël  denne
wolfgang  sandner;f.  gounand
h.  orth;g. zu putlitz
b. s. sood;natthi  singh
p. e. chumbley;harold d. bale
james a. o'neill;robert l. brooks
john  weiner;p.  polak-dingels
f.  matsuoka;sadao  nakai
j. b. swan;s. c. goh
keizo  ishii;s. m. morita
g.  nouchi;j.  rouch
shoukry s. hassan;peter d. drummond
winston h. bostick;j.  feugeas
dan  nir;baruch  rosner
f.  matsuoka;kohei  yamada
shyamal  datta;kanika  roy
vernon w. hughes;a. b. denison
r. v. hodges;m. j. coggiola
n.  chan-tung;s.  dousson
james j. wynne;r.  beigang
george h. gillespie;ralph s. janda
takeshi  mukoyama;lászló  sarkadi
d. h. schneider;r. j. fortner
larry d. gardner;ivan a. sellin
p. a. thompson;a. b. denison
wulfhard  lange;h.  harde
h.  azechi;sadao  nakai
werner  pietsch;ronald  kreutz
s. c. das;n.  chaudhuri
w.  stodiek;s.  von goeler
a. eugene livingston;j. e. hardis
flemming  besenbacher;p.  loftager
michael g. littman;daniel  kleppner
james h. mcguire;k.  arnett
jean  désesquelles;m.  druetta
i. j. feng;h. k. tseng
philip j. bos;mary e. neubert
govind p. agrawal;deva n. pattanayak
h.  puell;h.  scheingraber
v. s. walder;j. m. bassalo
j. richard mowat;j. a. tanis
jan r. rubbmark;michael g. littman
alain  denis;m. c. buchet-poulizac
david s. cannell;hannes  güttinger
k.  reinikainen;olavi  keski-rahkonen
t. j. gay;h. p. garnir
j. l. firpo;j. f. baret
bernard  pouligny;jean rené lalanne
j. l. dunlap;c. h. ma
h.  schmidt-böcking;r. h. schuch
ken ichi  kubota;sakae  shimizu
p. a. souder;t. w. crane
james o. phelps;chun c. lin
h. l. rothwell;h.  neumann
r.  bergmann;w.  denk
joseph o. hirschfelder;k. h. yang
r. h. pratt;lynn d. kissel
meera  chandrasekhar;harold d. bale
m.  kamiya;m.  sebata
robert s. freund;susan m. tarr
robert  klapisch;a.  pesnelle
p. j. cooney;bruce j. zabransky
stephen r. lundeen;francis m. pipkin
p. c. dash;k.  patnaik
s.  krummacher;v.  schmidt
r. j. powers;petr  vogel
natarajan d. bhaskar;avinash c. sharma
w.  butscher;reinhard  bruch
donal j. burns;t. j. gay
arne w. fliflet;vincent  mckoy
l. wilmer anderson;c. j. anderson
h. w. reist;t. w. crane
k. t. cheng;k. f. huang
johannes  andriessen;t. p. das
gary d. doolen;w. l. slattery
edward b. rockower;john c. huang
c.  higgs;k. a. smith
etienne  guyon;bernard  malraison
g. l. schmidt;m. e. schillaci
theodore w. ducas;william p. spencer
o.  vallée;n. tran minh
j. l. pellissier;m. c. dharma-wardana
richard p. leavitt;herbert  dropkin
s.  büttgenbach;f.  touchard
james e. turner;reeta  vyas
gerhard  soff;walter  greiner
a. eugene livingston;r.  deserio
s. m. bentzen;t.  andersen
m.  druetta;jean  désesquelles
françois  grimaldi;j. l. pellissier
john j. kozak;k. d. luks
j. t. shy;john w. farley
jeff f. young;d. m. o'brien
c.  vaucamps;j. p. chabrat
t. s. ho;m.  lieber
james d. farina;lorenzo m. narducci
f. g. mariam;vernon w. hughes
arthur l. schawlow;antoinette j. taylor
roberto  colella;samuel a. werner
shunsuke  ohtani;akira  yagishita
k. f. huang;k. t. cheng
harvey a. gould;richard  marrus
p. o. egan;p. a. thompson
richard m. schectman;n.  schaffel
p. j. schneider;robert v. pyle
a. g. ryman;george  rosensteel
p. anantha lakshmi;girish s. agarwal
j. w. allen;dennis j. diestler
f. g. mariam;g. zu putlitz
j.  chapelle;p.  ranson
w. a. schönfeldt;martin  dost
james d. meiss;john r. cary
a. k. rajagopal;mukunda p. das
marcel h. lambert;a. j. leadbetter
p. r. simony;n.  stolterfoht
naseem k. rahman;yves  gontier
maria  hoffmann-ostenhof;john d. morgan
robert c. amme;h.  neumann
b. t. smith;l. d. doverspike
luiz m. brescansin;m. p. sharma
s. j. hinterlong;robert l. brooks
d. b. scarl;michael a. johnson
n.  bras;john  weiner
john g. wills;j. tserkrisme ndefru
vincenzo g. benza;luigi a. lugiato
f.  boehm;e.  bovet
girish s. agarwal;r.  saxena
r. r. sharma;v. k. tripathi
r. h. pantell;wayne d. kimura
ramakrishna  gowda;t. k. umesh
h. h. andersen;wolfhard  möller
bruce j. zabransky;elliot p. kanter
bruce j. west;v.  seshadri
wallace l. glab;a. w. mccown
h. j. andrä;h. p. winter
pierre  meystre;william h. louisell
p. a. thompson;vernon w. hughes
r.  beigang;james j. wynne
s. sen gupta;n. c. paul
deborah k. watson;thomas n. rescigno
daniel e. kelleher;h.  ehrich
m.  de saint-simon;s.  büttgenbach
carl e. wieman;theodor w. hänsch
joseph h. macek;stanley j. sramek
harry l. frisch;jonathan  roth
r. stephen berry;ring ling  chien
charles k. rhodes;joshua (yevsey) zavelovich
davide  bassi;s.  marchetti
ellen d. yorke;andrew g. de rocco
f.  schlögl;r. stephen berry
louis  dimauro;mark  feldman
michel  jaouen;g.  laplanche
k.  umetani;kunihiro  shima
s. p. flapper;g.  vertogen
jan v. sengers;richard a. ferrell
guy  oliver;chérif  bendjaballah
h.  egger;charles k. rhodes
j. e. hardis;a. eugene livingston
alfred s. schlachter;k. r. stalder
d.  van houtte;n.  chan-tung
r. h. pratt;z. r. iwinski
x.  llobet;g. l. schmidt
françois  grimaldi;m. c. dharma-wardana
paul  brumer;i. p. hamilton
j. a. tanis;robert v. pyle
l. k. lam;rajendra p. gupta
g. a. ruff;thomas f. gallagher
d. a. van baak;b. o. clark
g. f. hildebrandt;gregory j. hatton
m. j. singh;salim  ahmad
katja  lindenberg;bruce j. west
terence a. king;shinzou  kubota
daniel c. lu;h. w. reist
nelson  cue;m. j. gaillard
john e. rice;robert d. cowan
e.  navon;baruch  rosner
j.  kising;s.  hoppenau
natarajan d. bhaskar;b.  suleman
munir h. nayfeh;wallace l. glab
l.  frost;erich  weigold
michael s. pindzola;aaron  temkin
guy  oliver;cherif  bendjaballah
w.  götze;e.  leutheusser
phillip  sprangle;r. s. schneider
indrek  martinson;erling  veje
jonathan  roth;barry d. krawchuk
pat  sofinski;jonathan  roth
ken  sasaki;tsutomu  watanabe
donald s. gemmell;w. j. pietsch
j. m. george;john t. park
michael j. cavagnero;arnold  russek
h. p. baltes;paolo  schwendimann
p. s. ganas;alex s. green
r. j. tarento;m. f. achard
b. r. tambe;constantine e. theodosiou
jan r. rubbmark;daniel  kleppner
richard p. leavitt;frank j. crowne
h. a. gimm;leonard c. maximon
klaus h. berkner;w. g. graham
charles  rosenblatt;ronald s. pindak
jorge e. miraglia;c. r. garibotti
m. p. sharma;luiz m. brescansin
edward j. shipsey;j. c. browne
e.  alvarez;t.  noreland
earl w. smith;keith  burnett
keizo  ishii;a.  yamadera
h. w. reist;daniel c. lu
francois j. wuilleumier;v.  schmidt
alex  szabo;joseph h. eberly
j. m. wadehra;robin  shakeshaft
ranjana  prakash;naresh  chandra
sofia d. merajver;ellen d. yorke
sung ho suck;r. w. emmons
brad lee holian;anthony c. ladd
takeshi  ishihara;akio  tsuji
k. d. luks;k. a. green
reeta  vyas;james e. turner
christopher  davies;shinzou  kubota
f.  gresteau;j.  mazeau
s. m. shafroth;w. w. jacobs
m.  barat;j.  pommier
yasuo  suzuki;yoshifumi  harada
j. m. goldsmith;arlee v. smith
mary e. neubert;j. william doane
victor  pol;m. s. dababneh
arnold  russek;ignacio  alvarez
alfred x. trautwein;siegfried  lauer
peter w. langhoff;b. v. mckoy
s. e. kuhn;e.  alge
kingsley w. jones;c. j. david lin
a. s. acampora;p. e. serafim
johannes  andriessen;mina  vajed-samii
jean pierre briand;annie  chetioui
w. e. frieze;vernon w. hughes
h. e. henrikson;j. p. miller
marc  hou;william  happer
baruch  rosner;e.  navon
l. d. doverspike;m.  vedder
daniel c. lu;s.  dhawan
r. f. stebbings;f. b. dunning
thomas f. george;c. wang chang
m.  ligare;natarajan d. bhaskar
steven trent manson;anthony f. starace
f.  löffler;g.  saemann-ischenko
arnold  russek;edward  pollack
s.  vučić;vojislav  radojević
robert  klapisch;j. l. vialle
b. o. clark;d. a. van baak
r.  deserio;richard m. schectman
m. c. buchet-poulizac;j. p. grandin
james w. dufty;michael j. lindenfeld
j. d. knight;g. l. schmidt
n.  schaffel;r.  deserio
hong tuan duong;a.  pesnelle
a. a. mihajlov;m. m. popović
s. c. kanavi;sharashchandra h. patil
barry g. adams;karol  jankowski
p.  dhez;v.  schmidt
r. s. hozack;warren e. falconer
dwight  duston;paul c. kepple
richard  marrus;harvey a. gould
biswajit  chakraborty;b.  bhattacharyya
fabrizio  barocchi;d.  varshneya
natthi  singh;k. l. allawadhi
pierre  meystre;rodolfo  bonifacio
david linton johnson;david w. allender
j. f. baret;a. g. bois
a. s. ghosh;priti  khan
h.  ted davis;l.  foreman
duane a. dolejsi;e.  gürmen
wayne d. kimura;r. h. pantell
a.  pesnelle;robert  klapisch
john s. dahler;svend erik nielsen
l. b. bridwell;g. d. alton
a. k. barua;s. n. ray
charles k. rhodes;h.  egger
daniel d. kuhn;d.  brinkmann
helge  knudsen;harold k. haugen
katja  lindenberg;v.  seshadri
steven l. carter;michael s. pindzola
r. k. feeney;d. w. hughes
ronald s. pindak;noel a. clark
m.  aydinol;hans  kleinpoppen
oscar v. gabriel;siddheswar  chaudhuri
david w. mclaughlin;hermann  flaschka
s. n. dixit;a. t. georges
marshall n. rosenbluth;roscoe b. white
hans  kleinpoppen;m.  aydinol
c. r. garibotti;wolfgang  meckbach
c.  vaucamps;sow hsin chen
l.  mandel;robert w. short
herbert  dropkin;richard p. leavitt
walter i. goldburg;a. anil kumar
baruch  rosner;mati  meron
r. w. emmons;sung ho suck
hermann  flaschka;brad lee holian
james w. taylor;john d. allen
w. e. kauppila;victor  pol
j. n. leboeuf;john m. dawson
kingsley w. jones;g.  nolte
t. w. crane;p. a. souder
aaron d. krumbein;robert l. brooks
daniel f. walls;peter  zoller
c.  thibault;p. l. pillet
s.  dhawan;vernon w. hughes
martin  dost;s.  röhl
manoj  jain;narkis  tzoar
j. e. hardis;h. gordon berry
ali a. antar;quentin c. kessel
hans g. dehmelt;m.  hohenstatt
m. h. yam;t. w. crane
h.  ramler;w.  lindinger
a. c. gallagher;r. e. kennerly
b.  liberman;r. s. schneider
mahendra singh sodha;sunil k. sinha
daniel charles mattis;bill  sutherland
r.  kutina;nelson  cue
herbert  dropkin;donald e. wortman
aneesur  rahman;raymond d. mountain
maria  hoffmann-ostenhof;thomas  hoffmann-ostenhof
barry d. krawchuk;jonathan  roth
yves  guissani;j. c. leicknam
alberto m. cantù;gian paolo tozzi
a. m. howald;chun c. lin
marlan o. scully;hazim  al-abawi
david e. nitz;m. d. levenson
james r. macdonald;t. r. dillingham
s. n. ray;johannes  andriessen
claude  deutsch;bernard  held
kwangjai  park;russell j. donnelly
cüneyt  can;tom j. gray
g. zu putlitz;j.  vetter
alan a. hahn;petr  vogel
jayanth r. banavar;darryl d. coon
vincent  mckoy;deborah k. watson
p. a. thompson;j.  vetter
g. h. both;ronald  kreutz
k. a. safinya;william e. cooke
gregory e. garland;michael j. lindenfeld
jeffrey  bokor;charles k. rhodes
annabella  selloni;h. p. baltes
b.  couillaud;t. w. hansch
barry g. adams;joseph e. avron
raymond d. mountain;aneesur  rahman
