a.  huetz;d.  vichon
deborah k. watson;robert r. lucchese
mark d. havey;ludwig c. balling
s.  huldt;bjarne  andresen
b. b. srivastava;a.  mandl
v. a. molchanov;l. l. balashova
b. s. sood;k. l. allawadhi
w. b. westerveld;john s. risley
p. l. pillet;hong tuan duong
l. m. humphrey;richard r. freeman
e.  sein;jean rené lalanne
r. f. stebbings;g. f. hildebrandt
m. f. ross;hugh e. dewitt
terumi  nakagawa;t.  mikumo
arthur v. phelps;arthur g. zajonc
gian paolo tozzi;massimo  mazzoni
w.  schubert;f.  löffler
stephen j. smith;m. d. levenson
c.  thibault;a.  pesnelle
j. d. memory;george w. parker
george d. purvis;rodney j. bartlett
christopher  davies;akira  hitachi
j. m. ruhland;daniel m. kroll
d. w. hughes;r. k. feeney
hong tuan duong;s.  büttgenbach
s. n. ray;samir  saha
baruch  rosner;dan  nir
t.  von egidy;w.  wilhelm
p. j. martin;jerry l. peacher
albert w. overhauser;roberto  colella
o. f. kalman;joseph j. spezeski
r. j. fortner;d. h. schneider
j. l. firpo;a. g. bois
marek  kuś;kryzysztof  wódkiewicz
ralph d. hight;richard m. schectman
r. d. dubois;c. l. cocke
william  happer;b.  suleman
r. g. rolfes;david a. crosby
j. l. vuilleumier;h. e. henrikson
petr  vogel;a. r. kunselman
thomas n. rescigno;arne w. fliflet
robert l. brooks;aaron d. krumbein
earl s. marmar;john e. rice
s. k. hark;john t. ho
b.  sollenberger;n. v. udeh
charles k. rhodes;m.  rothschild
a. c. gallagher;w. j. sandle
robert  klapisch;p. l. pillet
d.  vichon;a.  huetz
t. j. gay;n.  schaffel
c. j. david lin;james m. hall
jan v. sengers;jayanta k. bhattacharjee
edward  pollack;arnold  russek
rémi  hakim;horacio d. sivak
john d. allen;frederick a. grimm
rodolfo  bonifacio;marlan o. scully
charles ray smith;ramarao  inguva
brant m. johnson;g.  nolte
bjarne  andresen;erling  veje
vernon w. hughes;m. h. yam
j.  campos;a.  arnesen
j. c. poizat;n. castro faria
f. g. kellert;f. b. dunning
r. v. ribas;w. a. roney
t. c. chu;a.  kuwako
p. l. pillet;m.  de saint-simon
